"Class","Order","Family","Genus","Species","Study","Mass","FMR","Log10Mass","Log10FMR"
"Mammalia","Carnivora","Odobenidae","Odobenus","rosmarus","Acquarone et al 2006",1370,345000,3.13672056715641,5.53781909507327
"Mammalia","Carnivora","Odobenidae","Odobenus","rosmarus","Acquarone et al 2006",1250,417400,3.09691001300806,5.62055244472944
"Mammalia","Carnivora","Otariidae","Arctocephalus","gazella","Arnould et al 1996",32.75,17430.336,1.5152113043278,4.24130575897112
"Mammalia","Carnivora","Otariidae","Arctocephalus","gazella","Arnould et al 1996",45.5,20049.12,1.65801139665711,4.30209531523394
"Mammalia","Carnivora","Otariidae","Arctocephalus","gazella","Arnould et al 1996",38.5,22952.16,1.5854607295085,4.36082356272465
"Mammalia","Carnivora","Otariidae","Arctocephalus","gazella","Arnould et al 1996",40.5,26453.952,1.60745502321467,4.42249056119477
"Mammalia","Carnivora","Otariidae","Arctocephalus","gazella","Arnould et al 1996",39,16174.08,1.5910646070265,4.20881958688098
"Mammalia","Carnivora","Otariidae","Arctocephalus","gazella","Arnould et al 1996",32.25,21594.6,1.50852971897129,4.33434516395649
"Mammalia","Carnivora","Otariidae","Arctocephalus","gazella","Arnould et al 1996",37.25,18956.376,1.57112627708431,4.27775531435031
"Mammalia","Carnivora","Otariidae","Arctocephalus","gazella","Arnould et al 1996",37.25,17829.936,1.57112627708431,4.25114978429164
"Mammalia","Carnivora","Otariidae","Arctocephalus","gazella","Arnould et al 1996",28.25,12521.304,1.45101845215546,4.09764955974617
"Mammalia","Chiroptera","Phyllostomidae","Macrotus","californicus","Bell et al 1986",0.0133,19.4421528,-1.87614835903291,1.28874435202009
"Mammalia","Chiroptera","Phyllostomidae","Macrotus","californicus","Bell et al 1986",0.0125,19.8918,-1.90308998699194,1.29867408401419
"Mammalia","Chiroptera","Phyllostomidae","Macrotus","californicus","Bell et al 1986",0.0129,20.687472,-1.88941028970075,1.31570742331297
"Mammalia","Chiroptera","Phyllostomidae","Macrotus","californicus","Bell et al 1986",0.0113,24.9520272,-1.94692155651658,1.39710583517019
"Mammalia","Chiroptera","Phyllostomidae","Macrotus","californicus","Bell et al 1986",0.0117,24.3198072,-1.93181413825384,1.3859601276604
"Mammalia","Chiroptera","Phyllostomidae","Macrotus","californicus","Bell et al 1986",0.0126,23.5481904,-1.89962945488244,1.37195753866277
"Mammalia","Chiroptera","Phyllostomidae","Macrotus","californicus","Bell et al 1986",0.0137,29.2375536,-1.86327943284359,1.46594103099208
"Mammalia","Chiroptera","Phyllostomidae","Macrotus","californicus","Bell et al 1986",0.0125,26.3682,-1.90308998699194,1.42108048410709
"Mammalia","Chiroptera","Phyllostomidae","Macrotus","californicus","Bell et al 1986",0.0132,12.2940576,-1.87942606879415,1.08969524354192
"Mammalia","Chiroptera","Phyllostomidae","Macrotus","californicus","Bell et al 1986",0.0133,19.278084,-1.87614835903291,1.28506386828172
"Mammalia","Chiroptera","Phyllostomidae","Macrotus","californicus","Bell et al 1986",0.0134,17.1914496,-1.87289520163519,1.23531249837047
"Mammalia","Chiroptera","Phyllostomidae","Macrotus","californicus","Bell et al 1986",0.0125,24.2094,-1.90308998699194,1.38398402612417
"Mammalia","Chiroptera","Phyllostomidae","Macrotus","californicus","Bell et al 1986",0.014,20.120016,-1.85387196432176,1.30362832174716
"Mammalia","Chiroptera","Phyllostomidae","Macrotus","californicus","Bell et al 1986",0.0128,19.6586496,-1.89279003035213,1.29355368178651
"Mammalia","Chiroptera","Phyllostomidae","Macrotus","californicus","Bell et al 1986",0.0143,26.46072,-1.84466396253494,1.42260165722762
"Mammalia","Chiroptera","Phyllostomidae","Macrotus","californicus","Bell et al 1986",0.0133,26.3330424,-1.87614835903291,1.42050103841486
"Mammalia","Rodentia","Cricetidae","Microtus","pennsylvanicus","Berteaux et al 1996",0.0366,113,-1.43651891460559,2.05307844348342
"Mammalia","Rodentia","Cricetidae","Microtus","pennsylvanicus","Berteaux et al 1996",0.0393,115.6,-1.40560744962457,2.06295783408451
"Mammalia","Rodentia","Cricetidae","Microtus","pennsylvanicus","Berteaux et al 1996",0.0345,111.2,-1.46218090492673,2.04610478724604
"Mammalia","Rodentia","Cricetidae","Microtus","pennsylvanicus","Berteaux et al 1996",0.0354,98.2,-1.45099673797421,1.99211148778695
"Mammalia","Rodentia","Cricetidae","Microtus","pennsylvanicus","Berteaux et al 1996",0.0304,78.5,-1.51712641639125,1.89486965674525
"Mammalia","Rodentia","Cricetidae","Microtus","pennsylvanicus","Berteaux et al 1996",0.0356,84,-1.44855000202712,1.92427928606188
"Mammalia","Rodentia","Cricetidae","Microtus","pennsylvanicus","Berteaux et al 1996",0.0368,113.9,-1.43415218132648,2.0565237240791
"Mammalia","Rodentia","Cricetidae","Microtus","pennsylvanicus","Berteaux et al 1996",0.0328,100.1,-1.48412615628832,2.00043407747932
"Mammalia","Rodentia","Cricetidae","Microtus","pennsylvanicus","Berteaux et al 1996",0.0349,110.2,-1.45717457304082,2.04218159451577
"Mammalia","Rodentia","Cricetidae","Microtus","pennsylvanicus","Berteaux et al 1996",0.0349,64,-1.45717457304082,1.80617997398389
"Mammalia","Rodentia","Cricetidae","Microtus","pennsylvanicus","Berteaux et al 1996",0.0408,115.6,-1.38933983691012,2.06295783408451
"Mammalia","Diprotodontia","Tarsipedidae","Tarsipes","rostratus","Bradshaw & Bradshaw 1999",0.0069,8.6,-2.16115090926274,0.934498451243568
"Mammalia","Diprotodontia","Tarsipedidae","Tarsipes","rostratus","Bradshaw & Bradshaw 1999",0.0101,27,-1.99567862621736,1.43136376415899
"Mammalia","Diprotodontia","Tarsipedidae","Tarsipes","rostratus","Bradshaw & Bradshaw 1999",0.0068,18.1,-2.16749108729376,1.25767857486918
"Mammalia","Diprotodontia","Tarsipedidae","Tarsipes","rostratus","Bradshaw & Bradshaw 1999",0.0072,13.5,-2.14266750356873,1.13033376849501
"Mammalia","Diprotodontia","Tarsipedidae","Tarsipes","rostratus","Bradshaw & Bradshaw 1999",0.0089,23.9,-2.05060999335509,1.37839790094814
"Mammalia","Diprotodontia","Tarsipedidae","Tarsipes","rostratus","Bradshaw & Bradshaw 1999",0.0144,50.1,-1.84163750790475,1.69983772586725
