Cage Number,Virus Treatment,Pollen Treatment,Experimental replicate code,72 hpi proportion mortality
351,None,None,29,0.028571429
352,Virus,Poly,29,0.114285714
353,None,Poly,29,0.028571429
354,None,Castanea,29,0.055555556
355,Virus,Castanea,29,0.171428571
357,Virus,Cistus,29,0.257142857
359,Virus,None,29,0.314285714
360,Virus,Castanea,29,0.238095238
361,Virus,None,29,0.361111111
362,None,Castanea,29,0.057142857
363,None,Castanea,29,0
364,Virus,None,29,0.314285714
365,None,Castanea,29,0.03125
367,None,Poly,29,0.028571429
368,None,Cistus,29,0.057142857
369,Virus,Cistus,29,0.228571429
370,None,Castanea,29,0.026315789
371,None,None,29,0.058823529
372,Virus,Cistus,30,0.484848485
373,None,Poly,29,0.03030303
374,Virus,Castanea,29,0.171428571
375,None,None,29,0
376,Virus,Poly,29,0.212121212
377,None,Poly,29,0.028571429
379,Virus,Poly,29,0.2
380,Virus,None,29,0.285714286
381,Virus,Castanea,29,0.111111111
382,None,None,29,0.083333333
383,Virus,None,29,0.5
384,Virus,None,29,0.588235294
385,None,None,29,0.057142857
386,Virus,Cistus,29,0.138888889
387,Virus,None,29,0.526315789
388,None,None,29,0.088235294
389,None,Cistus,29,0.028571429
390,Virus,Poly,29,0.228571429
394,Virus,Poly,29,0.142857143
395,Virus,Poly,29,0.222222222
396,Virus,Cistus,29,0.228571429
398,None,Cistus,29,0.057142857
399,None,Castanea,29,0.085714286
400,None,Poly,29,0
401,Virus,Castanea,29,0.081081081
402,Virus,None,29,0.371428571
403,Virus,Poly,29,0.171428571
404,None,Poly,29,0.085714286
405,None,Cistus,29,0.128205128
406,None,Cistus,29,0.459459459
407,Virus,Castanea,29,0.074074074
408,None,Cistus,29,0.5
409,Virus,Castanea,29,0.212121212
410,None,Cistus,29,0.083333333
411,Virus,Cistus,29,0.142857143
412,Virus,Castanea,29,0.2
414,None,None,29,0.03030303
415,None,Cistus,29,0.055555556
416,None,Castanea,29,0.029411765
418,Virus,Cistus,30,0.727272727
419,Virus,Cistus,29,0.4
420,None,None,29,0.088235294
421,None,Poly,29,0.058823529
422,Virus,Poly,29,0.257142857
423,Virus,Poly,30,0.142857143
424,None,Cistus,30,0
425,None,None,30,0.324324324
426,Virus,Cistus,30,0.142857143
427,None,Castanea,30,0
428,Virus,Poly,30,0.027777778
429,None,Poly,30,0
430,None,Poly,30,0
431,Virus,Cistus,30,0.314285714
432,Virus,Cistus,30,0.2
433,None,Poly,30,0
434,None,Cistus,30,0.055555556
435,Virus,Castanea,30,0.4
436,None,Cistus,30,0
437,None,Castanea,30,0.032258065
438,None,None,30,0.228571429
439,Virus,None,30,0.256410256
440,Virus,Cistus,30,0.43902439
441,Virus,Poly,30,0.171428571
442,Virus,None,30,0.323529412
443,None,Castanea,30,0.085714286
444,Virus,Castanea,30,0.428571429
445,Virus,Poly,30,0.243243243
446,Virus,None,30,0.472222222
447,Virus,Castanea,30,0.142857143
448,None,None,30,0
449,None,None,30,0.166666667
450,Virus,None,30,0.382352941
451,None,Cistus,30,0.055555556
452,None,None,30,0.028571429
453,None,Poly,30,0
454,Virus,Castanea,30,0.3
456,Virus,Cistus,30,0.114285714
457,None,None,30,0.03030303
458,None,Cistus,30,0.171428571
459,Virus,Cistus,30,0.742857143
460,None,Castanea,30,0.114285714
462,Virus,Poly,30,0.25
463,Virus,None,30,0.416666667
464,None,None,30,0.162162162
465,None,Castanea,30,0.108108108
466,None,Poly,30,0
467,None,Cistus,30,0.057142857
470,Virus,Cistus,30,0.2
471,Virus,Castanea,30,0.4
472,None,Castanea,30,0
473,Virus,None,30,0.756756757
474,Virus,Castanea,30,0.171428571
476,None,Cistus,30,0.15625
477,Virus,Castanea,30,0.1875
479,Virus,Poly,30,0.305555556
480,None,Poly,30,0.105263158
482,None,Poly,30,0.117647059
483,None,Castanea,30,0
484,Virus,None,30,0.484848485
