Name,Group,Sex,Age,fWHR,AssR,normDS,weight
Zuani,Apenheul,Female,22,1.475051975,5.36,1.43,24
Zuani,Apenheul,Female,22,1.321814255,5.36,1.43,24
Zorba,Wilhelma,Male,34,1.581445523,2.36,2.341,
Zorba,Wilhelma,Male,34,1.479236813,2.36,2.341,
Zorba,Wilhelma,Male,34,1.390086207,2.36,2.341,
Zomi,Frankfurt,Female,15,1.340909091,3.92,3.087,
Zomi,Frankfurt,Female,15,1.260869565,3.92,3.087,
Zamba,Apenheul,Male,14,1.880866426,4.74,3.035,41.6
Zamba,Apenheul,Male,14,1.491452991,4.74,3.035,41.6
Zamba,Apenheul,Male,14,1.578947368,4.74,3.035,41.6
Vifijo,Planckendael,Male,18,1.351490236,2.68,2.165,38
Vifijo,Planckendael,Male,18,1.506261181,2.68,2.165,38
Vifijo,Planckendael,Male,18,1.468292683,2.68,2.165,38
Vifijo,Planckendael,Male,18,1.385714286,2.68,2.165,38
Vifijo,Planckendael,Male,18,1.501612903,2.68,2.165,38
Muhdeblu,Wuppertal,Female,12,1.364118896,2.62,2.943,36.5
Muhdeblu,Wuppertal,Female,12,1.381592554,2.62,2.943,36.5
Muhdeblu,Wuppertal,Female,12,1.269620253,2.62,2.943,36.5
Mobikisi,Wilhelma,Male,34,1.600529101,3.97,2.627,43.5
Mixi,Frankfurt,Female,11,1.919491525,4.12,3.944,36
Mixi,Frankfurt,Female,11,1.826446281,4.12,3.944,36
Mixi,Frankfurt,Female,11,1.572016461,4.12,3.944,36
Mato,Wuppertal,Male,49,1.534818942,5.38,4.421,50.6
Mato,Wuppertal,Male,49,1.60755814,5.38,4.421,50.6
Mato,Wuppertal,Male,49,1.798387097,5.38,4.421,50.6
Maringa,Twycross,Female,15,1.327433628,4.51,4.198,
Maringa,Twycross,Female,15,1.428571429,4.51,4.198,
Maringa,Twycross,Female,15,1.528550512,4.51,4.198,
Maringa,Twycross,Female,15,1.517241379,4.51,4.198,
Margrit,Frankfurt,Female,62,1.15896488,4.28,3.615,31
Margrit,Frankfurt,Female,62,1.237267081,4.28,3.615,31
Lusambo,Wuppertal,Male,32,1.590493601,5.27,4.333,41.5
Lusambo,Wuppertal,Male,32,1.532718121,5.27,4.333,41.5
Luo,Twycross,Male,10,1.317016317,3.26,4.147,
Luo,Twycross,Male,10,1.42732049,3.26,4.147,
Luo,Twycross,Male,10,1.427251732,3.26,4.147,
Luo,Twycross,Male,10,1.555555556,3.26,4.147,
Luo,Twycross,Male,10,1.687878788,3.26,4.147,
Ludwig,Frankfurt,Male,29,1.454054054,2.51,4.262,53.3
Lucuma,Planckendael,Male,10,1.5,3.97,4.453,
Lucuma,Planckendael,Male,10,1.591439689,3.97,4.453,
Lucuma,Planckendael,Male,10,1.539170507,3.97,4.453,
Lucuma,Planckendael,Male,10,1.72392638,3.97,4.453,
Louisoko,Planckendael,Male,14,1.26459854,4.92,2.242,
Louisoko,Planckendael,Male,14,1.341523342,4.92,2.242,
Louisoko,Planckendael,Male,14,1.324275362,4.92,2.242,
Lisala,Wuppertal,Female,32,1.718654434,5.69,3.442,
Lisala,Wuppertal,Female,32,1.40201005,5.69,3.442,
