"Region.Code","County.Name","Municipality","Location","Route.Carried.and.Reference.Marker","Owner","Year.Built","Date.Last.Inspected","SD.FO.Status","Condition.Rating"
1,"ALBANY","Albany  (City)","ROUTE 155 OVER 90IX      ","155  155 11012010","NYS Thruway Authority",1999,"09/10/2013","N",6.387
1,"ALBANY","Albany  (City)","JCT RTS 20 & 85          ","20   20 11202010","NYSDoT",1960,"11/17/2014","FO",4.712
1,"ALBANY","Albany  (City)","RTE 443 OVER NORMANSKILL ","443  443 11021237","NYSDoT",1996,"10/30/2013","N",6.083
1,"ALBANY","Albany  (City)","JCT RTE 443 & I87 TO I90 ","443  443 11022005","NYS Thruway Authority",1952,"08/26/2014","FO",4.719
1,"ALBANY","Albany  (City)","0.1 MI N JCT RTE 5 & I90 ","5  X","City",1968,"09/04/2014","N",5.211
1,"ALBANY","Albany  (City)","RAMP I787 NB - SO MALL WB","787  NB TO SXE WB","NYSDoT",1973,"10/21/2013","FO",4.339
1,"ALBANY","Albany  (City)","0.2 MI E JCT RT 9W & I787","787I 787I11011004","NYSDoT",1966,"07/31/2014","FO",4.172
1,"ALBANY","Albany  (City)","JCT RT 32 & I787         ","787I 787I11011008","NYSDoT",1966,"05/15/2014","N",4.188
1,"ALBANY","Albany  (City)","IN ALBANY","787I 787I11011013","NYSDoT",1973,"10/02/2013","FO",4.014
1,"ALBANY","Albany  (City)","I787 & B:WAY - D&H RWY","787I 787I11011013","NYSDoT",1973,"10/03/2013","N",3.958
1,"ALBANY","Albany  (City)","I787 & BWAY-QUAY ST CONN ","787I 787I11011021","NYSDoT",1973,"09/30/2013","FO",5.469
1,"ALBANY","Albany  (City)","I787 & BWAY-QUAY ST CONN ","787I 787I11011021","NYSDoT",1973,"09/17/2013","N",5.313
1,"ALBANY","Albany  (City)","JCT I787 & CONRAIL/AMTRAK","787I 787I11011025","NYSDoT",1970,"11/04/2014","FO",5.264
1,"ALBANY","Albany  (City)","JCT I787 & CSX  RR/ AMTRA","787I 787I11011025","NYSDoT",1970,"11/21/2014","FO",5.069
