Date,Occupancy,N_Admitted,FreshWater,HighChlorine,LowChlorine,TotalWater,MedStaffHRZ,WASHStaffHRZ,TotalStaffHRZ,BagsIncineratedHRZ,BagsIncineratedLRZ,LatrinesDisinfected,CubicalBedsDisinfected,HandwashBuckets,WardsDisinfected,ScrubsLaundered,ApronsLaundered,BootsLaundered,HeavyGlovesLaundered,GogglesDisinfected,SprayerRepaired,S_CoverallsUsed,M_CoverallsUsed,L_CoverallsUsed,XL_CoverallsUsed,XXL_CoverallsUsed,CoverallsUsed,N95Used,HoodsUsed,PPEDamaged,Location,Month,Year,Week
2015-12-19T00:00:00Z,2,NA,NA,1300,1100,2400,35,40,75,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,Makeni,Dec,2015,51
2015-12-20T00:00:00Z,9,NA,NA,3900,8400,12300,56,47,103,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,Makeni,Dec,2015,51
2015-12-21T00:00:00Z,9,NA,NA,2700,2100,4800,46,48,94,30,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,Makeni,Dec,2015,51
2015-12-22T00:00:00Z,9,NA,NA,4057,3047,7104,51,68,119,52,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,Makeni,Dec,2015,51
2015-12-23T00:00:00Z,6,NA,NA,4300,4300,8600,34,59,93,22,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,Makeni,Dec,2015,51
2015-12-24T00:00:00Z,9,NA,NA,2450,1100,3550,25,43,68,23,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Makeni,Dec,2015,52
2015-12-25T00:00:00Z,14,NA,NA,4700,4700,9400,39,69,108,73,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,Makeni,Dec,2015,52
2015-12-26T00:00:00Z,13,NA,NA,4100,6800,10900,41,37,78,43,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Makeni,Dec,2015,52
2015-12-27T00:00:00Z,13,NA,NA,3500,3400,6900,38,47,85,34,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,Makeni,Dec,2015,52
2015-12-28T00:00:00Z,12,NA,NA,4150,3600,7750,30,52,82,51,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Makeni,Dec,2015,52
