day,stratum,seen by front,seen by rear,herd size,photo,side,front obs id,rear obs id,speed,height,vegetation,elephants only,time within transect,time within day,sun elev,flight direction,flight direction (degrees),looking,sunangle
1,Abu West,1,1,4,yes,R,2,3,181.8309859,89.81725146,open tree,0,0.033640969,0.93333874,41.91758168,N,0,90,51.36496626
1,Abu West,1,1,2,yes,R,2,3,181.8309859,89.81725146,open tree,0,0.01697414,0.916671911,41.740911,N,0,90,51.06828678
1,Abu West,1,1,3,yes,R,2,3,181.4791667,95.79084158,low grass,0,0.050308322,1.050006093,42.88851251,S,180,270,126.894748
1,Abu West,1,1,3,yes,L,1,4,183.3541667,92.57476636,low grass,0,0.016975562,1.13334,43.58792426,N,0,270,125.5432384
1,Abu West,1,1,9,yes,L,1,4,183.3541667,92.57476636,open shrub,0,0.016975484,1.133339922,43.5720268,N,0,270,125.5745021
1,Abu West,1,1,1,yes,L,1,4,183.3541667,92.57476636,open shrub,0,0.016975517,1.133339955,43.57775384,N,0,270,125.5627406
1,Abu West,1,1,17,yes,L,1,4,180.7272727,93.07740214,open tree,0,0.050309725,1.266674163,44.63320257,S,180,90,56.62717191
1,Abu West,1,1,14,yes,R,2,3,180.7272727,93.07740214,low grass,0,0.050309685,1.266674122,44.63715539,S,180,270,123.3643007
1,Abu West,0,1,8,yes,R,2,3,180.7272727,93.07740214,open tree,0,0.050309718,1.266674156,44.63240404,S,180,270,123.3744645
1,Abu West,0,1,7,none,R,2,3,180.7272727,93.07740214,NA,0,0.050309702,1.26667414,44.63474225,S,180,270,123.3695088
1,Abu West,1,1,5,yes,L,1,4,182.6716418,91.90480769,open shrub,0,0.016976895,1.350007999,45.24893105,N,0,270,121.9685352
1,Abu West,1,1,7,yes,L,1,4,182.6716418,91.90480769,closed shrub,0,0.033643636,1.366674741,45.38217034,N,0,270,121.661401
1,Abu West,0,1,7,none,R,2,3,182.6716418,91.90480769,NA,0,0.0169769,1.350008005,45.24677112,N,0,90,58.02668137
1,Abu West,0,1,3,yes,R,2,3,182.6716418,91.90480769,closed shrub,0,0.066977165,1.40000827,45.65188318,N,0,90,58.9711973
