collection_id,frog_id,gosner_stage,tail_length,frog_comments,abnormal,bleeding_injury,skeletal_abnormality,eye_abnormality,surface_abnormality,site,date,year,coll_date,other_invert_relative_density,dragonfly_relative_density,detectable_analytes
KNA1021-RASY-080712,15,stage 45,2,NA,No,No,No,No,No,KNA1021,8/7/12,12,6/8/12,607,6,24
KNA1024-RASY-080812,13,stage 44,20,NA,No,No,No,No,No,KNA1024,8/8/12,12,6/7/12,503,8,29.333333333333332
KNA1069-RASY-080612,24,stage 45,1,NA,No,No,No,No,No,DNR1069,8/6/12,12,6/3/12,788,3,15.333333333333334
KNA1090-RASY-080612,5,stage 45,3,NA,No,No,No,No,No,KEN1090,8/6/12,12,6/4/12,352,1,17.333333333333332
KNA11119-RASY-081612,26,stage 44,17,NA,No,No,No,No,No,KNA111-19,8/16/12,12,6/6/12,171,6,37.333333333333336
KNA1024-RASY-080812,47,stage 44,33,"~ 3mm of right thigh is comparable to left, remainder of thigh/calf are underdeveloped and foot is not fully developed, digits are not differentiated.",Yes,No,Yes,No,No,KNA1024,8/8/12,12,6/7/12,503,8,29.333333333333332
KNA90-RASY-072312,18,stage 44,16,~1mm of right calf present,Yes,No,Yes,No,No,KNA90,7/23/12,12,6/3/12,2917,100,16.666666666666668
KNA1024-RASY-080812,45,stage 45,1,"~3mm of left calf present, appears healed.",Yes,No,Yes,No,No,KNA1024,8/8/12,12,6/7/12,503,8,29.333333333333332
KNA01-RASY-080112,14,stage 45,2,"1mm of right forelimb present, open wound",Yes,Yes,Yes,No,No,KNA01,8/1/12,12,6/5/12,700,66,32.333333333333336
KNA1062-RASY-081012,28,stage 46,0,"1mm of right upper arm remaining, no open wound.",Yes,No,Yes,No,No,KNA1062,8/10/12,12,6/1/12,1343,12,34.333333333333336
KNA215-RASY-073112,49,stage 42,40,1mm portion of thigh with bone protruding and open wound on right; left leg missing,Yes,Yes,Yes,No,No,KNA215,7/31/12,12,6/5/12,1150,35,37
KNA1081-RASY-073012,15,stage 44,32,2mm appendage of soft tissue where left leg would be normally,Yes,No,Yes,No,No,KNA1081,7/30/12,12,5/31/12,976,10,35.333333333333336
KNA14-RASY-073112,8,stage 46,0,"2mm below left ankle joint present, open wound",Yes,Yes,Yes,No,No,KNA14,7/31/12,12,6/5/12,1610,113,33
KNA99-RASY-080812,17,stage 46,0,"2mm of left calf present, no open wound",Yes,No,Yes,No,No,KNA99,8/8/12,12,6/7/12,402,NA,15.666666666666666
KNA1081-RASY-073012,57,stage 42,32,2mm of right thigh present,Yes,No,Yes,No,No,KNA1081,7/30/12,12,5/31/12,976,10,35.333333333333336
KNA1051-RASY-080712,60,stage 45,1,2nd and 3rd digits shortened on left hind foot.,Yes,No,Yes,No,No,KPB1051,8/7/12,12,6/3/12,1019,25,38.333333333333336
KNA1062-RASY-081012,36,stage 45,1,"2nd digit missing on left hind limb, 3rd digit shortened, no open wound.",Yes,No,Yes,No,No,KNA1062,8/10/12,12,6/1/12,1343,12,34.333333333333336
KNA1031-RASY-072912,51,stage 43,22,2nd digit on left hind foot discolored-red,Yes,Yes,No,No,No,KPB1031,7/29/12,12,6/2/12,260,23,19.666666666666668
KNA1031-RASY-072912,52,stage 42,30,2nd digit on left hind foot discolored-red,Yes,Yes,No,No,No,KPB1031,7/29/12,12,6/2/12,260,23,19.666666666666668
KNA1069-RASY-080612,58,stage 46,0,2nd digit on left hind foot shortened; left eye smaller than normal.,Yes,No,Yes,Yes,No,DNR1069,8/6/12,12,6/3/12,788,3,15.333333333333334
KNA1040-RASY-072912,53,stage 45,1,2nd digit on right hind foot is red at the toe tip,Yes,Yes,No,No,No,KPB1040,7/29/12,12,6/1/12,495,6,21.666666666666668
KNA1021-RASY-080712,49,stage 46,0,"2nd digit shortened on left hind foot, tip missing.",Yes,No,Yes,No,No,KNA1021,8/7/12,12,6/8/12,607,6,24
KNA1012-RASY-072512,41,stage 42,33,2nd digit shortened on left hind limb,Yes,No,Yes,No,No,KPB1012,7/25/12,12,6/5/12,521,12,13.666666666666666
KNA1062-RASY-081012,41,stage 46,0,2nd digit shortened on right hind limb.,Yes,No,Yes,No,No,KNA1062,8/10/12,12,6/1/12,1343,12,34.333333333333336
KNA215-RASY-073112,51,stage 45,3,"3mm of left calf present, no open wound",Yes,No,Yes,No,No,KNA215,7/31/12,12,6/5/12,1150,35,37
KNA215-RASY-073112,37,stage 44,22,"3mm of left thigh present, no open wound",Yes,No,Yes,No,No,KNA215,7/31/12,12,6/5/12,1150,35,37
KNA17-RASY-080312,37,stage 45,4,"3mm of right calf present, wound appears partially healed",Yes,Yes,Yes,No,No,KNA17,8/3/12,12,6/5/12,1325,44,28.666666666666668
KNA1024-RASY-080812,32,stage 45,6,"3mm of right thigh present, appears healed.",Yes,No,Yes,No,No,KNA1024,8/8/12,12,6/7/12,503,8,29.333333333333332
KNA1062-RASY-081012,3,stage 45,1,"3rd digit missing on left front limb, redness at site.",Yes,Yes,Yes,No,No,KNA1062,8/10/12,12,6/1/12,1343,12,34.333333333333336
KNA01-RASY-080112,30,stage 44,20,"4mm of left calf present, no open wound",Yes,No,Yes,No,No,KNA01,8/1/12,12,6/5/12,700,66,32.333333333333336
KNA1024-RASY-080812,52,stage 45,2,"4mm of right calf present, no open wound.",Yes,No,Yes,No,No,KNA1024,8/8/12,12,6/7/12,503,8,29.333333333333332
KNA01-RASY-080112,6,stage 46,0,"4mm of right thigh present, no open wound",Yes,No,Yes,No,No,KNA01,8/1/12,12,6/5/12,700,66,32.333333333333336
KNA1084-RASY-072812,51,stage 42,39,5mm of left calf present-foot and ankle joint missing,Yes,No,Yes,No,No,KNA1084,7/28/12,12,6/7/12,181,1,25.333333333333332
KNA01-RASY-080112,50,stage 45,3,"5th digit on right hind limb present, others shortened or missing; no open wound visible",Yes,No,Yes,No,No,KNA01,8/1/12,12,6/5/12,700,66,32.333333333333336
KNA11119-RASY-081612,21,stage 45,2,"6mm of left thigh present, no open wound.",Yes,No,Yes,No,No,KNA111-19,8/16/12,12,6/6/12,171,6,37.333333333333336
KNA1051-RASY-080712,63,stage 45,2,"All 5 digits on right hind foot shortened, missing tips.",Yes,No,Yes,No,No,KPB1051,8/7/12,12,6/3/12,1019,25,38.333333333333336
KNA1064-RASY-072912,52,stage 43,32,all digits missing from right hind foot,Yes,No,Yes,No,No,DNR1064,7/29/12,12,6/4/12,785,20,23.333333333333332
KNA1040-RASY-072912,45,stage 46,0,all digits partially missing from left hind foot,Yes,No,Yes,No,No,KPB1040,7/29/12,12,6/1/12,495,6,21.666666666666668
KNA1069-RASY-080612,35,stage 46,0,All digits shortened on right hind foot.,Yes,No,Yes,No,No,DNR1069,8/6/12,12,6/3/12,788,3,15.333333333333334
KNA1062-RASY-081012,49,stage 46,0,All digits shortened on right hind limb.,Yes,No,Yes,No,No,KNA1062,8/10/12,12,6/1/12,1343,12,34.333333333333336
KNA01-RASY-080112,42,stage 46,0,all digits shortened/curled on left hind limb,Yes,No,Yes,No,No,KNA01,8/1/12,12,6/5/12,700,66,32.333333333333336
KNA90-RASY-072312,5,stage 43,21,bilateral back legs missing,Yes,No,Yes,No,No,KNA90,7/23/12,12,6/3/12,2917,100,16.666666666666668
KNA1064-RASY-072912,13,stage 42,37,both hind limbs missing and very small appendage of soft tissue visible in the area where the legs would be attached,Yes,No,Yes,No,No,DNR1064,7/29/12,12,6/4/12,785,20,23.333333333333332
KNA1051-RASY-080712,62,stage 46,0,"Digits 1,2,3 shortened, missing tips on right hind limb.",Yes,No,Yes,No,No,KPB1051,8/7/12,12,6/3/12,1019,25,38.333333333333336
KNA1062-RASY-081012,45,stage 46,0,"Digits 1-3 partially missing, shortened on left hind limb",Yes,No,Yes,No,No,KNA1062,8/10/12,12,6/1/12,1343,12,34.333333333333336
KNA1062-RASY-081012,51,stage 46,0,"Digits 1-3 shortened on left front limb, no open wound.",Yes,No,Yes,No,No,KNA1062,8/10/12,12,6/1/12,1343,12,34.333333333333336
KNA215-RASY-073112,50,stage 46,0,Digits 1-3 shortened on left hind limb,Yes,No,Yes,No,No,KNA215,7/31/12,12,6/5/12,1150,35,37
KNA1042-RASY-080212,55,stage 43,14,"digits curled on right hind limb; tips missing, no open wound",Yes,No,Yes,No,No,DNR1042,8/2/12,12,6/2/12,1507,109,30
KNA1090-RASY-080612,34,stage 46,0,Digits shortened and curling at abnormal angles (all five) on left hind foot,Yes,No,Yes,No,No,KEN1090,8/6/12,12,6/4/12,352,1,17.333333333333332
KNA1051-RASY-080712,8,stage 45,1,"Each foot has 3 digits, each are shortened and curled.",Yes,No,Yes,No,No,KPB1051,8/7/12,12,6/3/12,1019,25,38.333333333333336
KNA02-RASY-072812,6,stage 43,27,"entire limb <10mm on right, >20mm on left",Yes,No,Yes,No,No,KNA02,7/28/12,12,6/6/12,470,5,25.333333333333332
KNA1069-RASY-080612,17,stage 46,0,"Entire right leg is less than 5mm, 4 digits differentiated, stunted calf very shortened and ankle joint into foot does not appear fully formed.",Yes,No,Yes,No,No,DNR1069,8/6/12,12,6/3/12,788,3,15.333333333333334
