"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-01-01","5.1"," 1600"," 1546","0.0",,"0.0","25.0",,"-1.1","-11.1",,"  160","  170","0.0","9.4","11.2",,,,,,,,,,,,,,,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-01-02","6.0"," 1149"," 1147","0.0",,"0.0","25.0",,"0.0","-6.7",,"  270","  280","0.0","12.5","16.1",,,,,,,,"    1",,,,,"    1",,"    1",,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-01-03","5.1"," 2148"," 2128","0.0",,"0.0","25.0",,"-0.6","-7.2",,"  110","  100","0.0","10.7","14.3",,,,,,,,,,,,,,,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-01-04","5.7"," 1921"," 1812","6.1",,"0.0","0.0",,"1.7","-4.4",,"  270","  290","0.0","11.2","13.9","    1","    1",,,"    1",,,"    1","    1",,,"    1","    1",,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-01-05","5.0"," 1558"," 1507","0.0",,"0.0","0.0",,"-1.7","-7.8",,"  240","  250","0.0","8.0","9.8",,,,,,,,,,,,,,,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-01-06","3.4"," 1406"," 1402","1.0",,"20.0","0.0",,"-0.6","-11.1",,"  120","  120","0.0","9.4","11.6","    1",,,,,,"    1","    1",,,,,"    1",,"    1",,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-01-07","3.2"," 2218"," 2213","7.6",,"119.0","51.0",,"-0.6","-3.9",,"  270","  280","0.0","8.9","10.7","    1",,,,,,,"    1",,,"    1",,"    1",,"    1",,,"    1"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-01-08","4.4"," 1341"," 1343","2.0",,"61.0","152.0",,"-0.6","-7.2",,"  290","  290","0.0","7.6","9.8","    1",,,,,,,"    1",,,"    1",,"    1",,"    1",,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-01-09","2.8"," 1839"," 0246","2.0",,"30.0","127.0",,"-4.4","-6.1",,"   90","  250","0.0","5.4","6.7","    1","    1",,,,,"    1","    1",,,"    1",,"    1",,"    1",,,"    1"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-01-10","4.1"," 0521"," 0553","5.6",,"81.0","127.0",,"-5.0","-7.2",,"   60","   60","0.0","7.2","8.9","    1","    1",,,,,,"    1",,,"    1",,"    1",,"    1",,,"    1"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-01-11","1.9"," 1330"," 2009","1.8",,"64.0","203.0",,"-4.4","-13.3",,"  180","  240","0.0","4.0","4.5","    1",,,,,,"    1","    1",,,"    1",,"    1",,"    1",,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-01-12","3.2"," 2027"," 1202","1.3",,"15.0","229.0",,"-3.9","-7.8",,"  160","  220","0.0","5.8","7.2","    1",,,,,,"    1","    1",,,"    1",,"    1",,"    1",,,"    1"
