"","ID","Lead","Copper","Alkalinity","Fluoride","Iron","Cadmium","Calcium","Sodium","Aluminum","Water_Filter","Decimal_Date","Month"
"1","267.2016-02-23",1.76064705882353,93.36,73,0.57,0.107452941176471,2,26.3882352941176,4.74411764705882,0.2,"No Filter",2016.07433970856,"Jan"
"2","272.2016-02-23",2.93013333333333,22.3073333333333,77,0.59,0.230666666666667,2,27.0466666666667,5.05933333333333,0.354333333333333,"No Filter",2016.07433970856,"Jan"
"4","297.2016-02-26",21.8106666666667,15.7806666666667,73,0.57,0.257093333333333,2.11066666666667,26.94,4.758,0.2,"No Filter",2016.07433970856,"Jan"
"5","285.2016-02-24",1.51653333333333,94.0133333333333,72,0.59,0.147426666666667,2,25.9,4.62666666666667,0.2,"No Filter",2016.07433970856,"Jan"
"6","286.2016-02-24",9.47277777777778,61.6666666666667,72,0.58,0.104488888888889,2,26.9,4.69611111111111,0.2,"No Filter",2016.07980418944,"Jan"
"7","288.2016-02-25",2.75705882352941,106.5,73,0.62,0.08,2,26.9352941176471,4.96470588235294,0.2,"No Filter",2016.08253642987,"Jan"
"8","291.2016-02-26",1.027,33.9075,74,0.61,0.1137,2,27.8,5.11125,0.2035,"No Filter",2016.08526867031,"Feb"
"9","294.2016-02-26",1.447,61.9266666666667,75,0.62,0.08,2,27.1133333333333,5.016,0.2,"No Filter",2016.08800091075,"Feb"
"10","295.2016-02-26",10.2353,3.7675,72,0.62,0.08,2,27.685,5.123,0.2209,"No Filter",2016.08800091075,"Feb"
"11","303.2016-02-27",1.99726666666667,20.2293333333333,73,0.6,0.08,2,27.3333333333333,5.20666666666667,0.2,"No Filter",2016.09073315118,"Feb"
"12","325.2016-02-28",4.58733333333333,30.3,74,0.6,0.08628,2,26.46,4.97666666666667,0.2,"No Filter",2016.09073315118,"Feb"
"13","330.2016-02-29",5.534,24.874,72,0.6,0.0803,2,28.3133333333333,5.142,0.2,"No Filter",2016.09073315118,"Feb"
"14","198.2016-01-28",4.71794117647059,21.4511764705882,76,0.61,0.0958705882352941,2,28.7882352941176,5.22823529411765,0.2,"No Filter",2016.09346539162,"Feb"
"15","277.2016-03-01",0.716133333333333,14.2933333333333,72,0.61,0.08,2,27.54,5.12733333333333,0.2,"No Filter",2016.09346539162,"Feb"
"16","361.2016-03-05",33.4952941176471,67.7370588235294,74,0.6,0.102076470588235,2.02352941176471,27.9294117647059,5.01058823529412,0.202352941176471,"No Filter",2016.09619763206,"Feb"
"17","360.2016-03-05",3.41482352941176,73.7382352941176,74,0.57,0.154705882352941,2,26.9882352941176,5.00352941176471,0.2,"Aerator On",2016.09619763206,"Feb"
"18","412.2016-03-11",4.05553333333333,39.1033333333333,74,0.6,0.3053,2.004,28.0533333333333,5.09466666666667,0.210933333333333,"No Filter",2016.09619763206,"Feb"
"19","450.2016-03-15",48.8033333333333,126.326666666667,73,0.58,1.77426666666667,2,29.0533333333333,5.196,0.8682,"No Filter",2016.09619763206,"Feb"
"20","449.2016-03-16",7.33733333333333,19.676,74,0.58,0.127973333333333,2,27.46,4.996,0.201066666666667,"No Filter",2016.10166211293,"Feb"
"21","714.2016-05-12",0.5,22.066,75,0.59,0.12802,2,27.4133333333333,5.04733333333333,0.2,"No Filter",2016.10166211293,"Feb"
"22","80.2016-01-30",1.38666666666667,69.86,78,0.63,0.1,0.5,27.2666666666667,4.78666666666667,0.1,"No Filter",2016.10439435337,"Feb"
"23","190.2016-01-31",1.44,61.3333333333333,73,0.63,0.1,0.5,27,4.62666666666667,0.1,"Aerator On",2016.10439435337,"Feb"
"24","86.2016-02-01",2.27333333333333,43.3333333333333,74,0.63,0.1,0.5,26.4666666666667,4.84666666666667,0.1,"Aerator On",2016.10439435337,"Feb"
"25","169.2016-02-02",47.5533333333333,74.6133333333333,74,0.63,0.158666666666667,0.5,27.2666666666667,4.81333333333333,0.155333333333333,"No Filter",2016.10439435337,"Feb"
"26","151.2016-02-02",14.1482352941176,22.8117647058824,76,0.61,1.54647058823529,0.5,26.8235294117647,4.9,0.724117647058824,"Aerator On",2016.10712659381,"Feb"
"27","140.2016-02-09",11.3235294117647,65.2411764705882,76,0.62,0.174705882352941,0.5,26.5882352941176,4.8,0.105882352941176,"Aerator On",2016.10712659381,"Feb"
"28","113.2016-02-09",32.6166666666667,320.555555555556,77,0.58,0.137777777777778,0.5,27.3888888888889,5.02222222222222,0.1,"No Filter",2016.10712659381,"Feb"
"29","107.2016-02-09",9.894,122.073333333333,73,0.6,0.826,0.510666666666667,25.4666666666667,4.84,0.174666666666667,"Aerator On",2016.10712659381,"Feb"
"30","62.2016-02-09",2.89833333333333,51.1555555555556,74,0.61,0.1,0.5,26.3888888888889,4.79444444444444,0.1,"No Filter",2016.10712659381,"Feb"
"31","54.2016-02-09",1.6392,5.89866666666667,75,0.63,0.08,2,27.0933333333333,4.93666666666667,0.2,"Aerator On",2016.10985883424,"Feb"
"32","95.2016-02-10",12.360625,72.7,75,0.61,0.2645625,2,28.3875,5.18375,0.2,"No Filter",2016.10985883424,"Feb"
"33","144.2016-02-10",2.96386666666667,25.192,72,0.62,0.08036,2.01266666666667,26.2,4.862,0.2,"No Filter",2016.10985883424,"Feb"
"34","142.2016-02-10",14.7798666666667,38.5526666666667,72,0.62,0.188933333333333,2,25.4666666666667,4.55333333333333,0.227333333333333,"No Filter",2016.10985883424,"Feb"
"35","124.2016-02-10",72.9646666666667,429.866666666667,74,0.61,0.428506666666667,2,27.2466666666667,4.95733333333333,0.249533333333333,"No Filter",2016.10985883424,"Feb"
"36","133.2016-02-10",5.96066666666667,84.734,72,0.61,0.140646666666667,2,29.1733333333333,5.67533333333333,0.3196,"No Filter",2016.10985883424,"Feb"
"37","189.2016-02-10",52.3653333333333,103.983333333333,73,0.63,0.489266666666667,2,26.7333333333333,4.94066666666667,0.231733333333333,"No Filter",2016.10985883424,"Feb"
"38","15.2016-02-10",3.03966666666667,47.9133333333333,73,0.59,0.201733333333333,2,28.2933333333333,5.11133333333333,0.2,"No Filter",2016.11259107468,"Feb"
"39","41.2016-02-11",1.06126666666667,46.5906666666667,71,0.61,0.09252,2,27.8533333333333,5.02333333333333,0.2,"No Filter",2016.11259107468,"Feb"
"40","174.2016-02-11",13.7153333333333,39.3793333333333,72,0.61,0.261533333333333,2,28.3066666666667,5.11466666666667,0.206333333333333,"No Filter",2016.11259107468,"Feb"
"41","143.2016-02-11",31.0156,120.953333333333,74,0.61,0.13238,2,27.2666666666667,4.88666666666667,0.2,"No Filter",2016.11532331512,"Feb"
"42","131.2016-02-12",20.0633333333333,278.178666666667,74,0.57,0.876866666666667,2,27.4733333333333,4.95133333333333,0.202133333333333,"No Filter",2016.11532331512,"Feb"
"43","74.2016-01-28",0.549066666666667,46.7533333333333,73,0.59,0.100253333333333,2,27.5866666666667,5.00933333333333,0.2,"No Filter",2016.11532331512,"Feb"
