"country","year","life_expectancy","population","income","four_regions"
"Australia",1800,34,351000,814,"asia"
"Australia",1801,34,350000,816,"asia"
"Australia",1802,34,349000,818,"asia"
"Australia",1803,34,348000,820,"asia"
"Australia",1804,34,348000,822,"asia"
"Australia",1805,34,347000,824,"asia"
"Australia",1806,34,346000,825,"asia"
"Australia",1807,34,345000,827,"asia"
"Australia",1808,34,344000,829,"asia"
"Australia",1809,34,343000,831,"asia"
"Australia",1810,34,342000,833,"asia"
"Australia",1811,34,341000,835,"asia"
"Australia",1812,34,340000,837,"asia"
"Australia",1813,34,340000,839,"asia"
"Australia",1814,34,339000,841,"asia"
"Australia",1815,34,338000,843,"asia"
"Australia",1816,34,337000,845,"asia"
"Australia",1817,34,336000,847,"asia"
"Australia",1818,34,335000,849,"asia"
"Australia",1819,34,335000,851,"asia"
"Australia",1820,34,334000,853,"asia"
"Australia",1821,34,334000,860,"asia"
"Australia",1822,34,333000,886,"asia"
"Australia",1823,34,334000,916,"asia"
"Australia",1824,34,334000,967,"asia"
"Australia",1825,34,335000,1010,"asia"
"Australia",1826,34,337000,1030,"asia"
"Australia",1827,34,338000,1070,"asia"
"Australia",1828,34,341000,1090,"asia"
"Australia",1829,34,344000,1150,"asia"
"Australia",1830,34,348000,1400,"asia"
"Australia",1831,34,354000,1450,"asia"
"Australia",1832,34,360000,1480,"asia"
"Australia",1833,34,367000,1480,"asia"
"Australia",1834,34,374000,1560,"asia"
"Australia",1835,34,382000,1890,"asia"
"Australia",1836,34,390000,1860,"asia"
"Australia",1837,34,399000,1950,"asia"
"Australia",1838,34,409000,1920,"asia"
"Australia",1839,34,421000,1790,"asia"
"Australia",1840,34,434000,2270,"asia"
"Australia",1841,34,449000,1940,"asia"
"Australia",1842,34,467000,1770,"asia"
"Australia",1843,34,488000,2050,"asia"
"Australia",1844,34,514000,2330,"asia"
"Australia",1845,34,544000,2400,"asia"
"Australia",1846,34,578000,2650,"asia"
"Australia",1847,34,615000,3060,"asia"
"Australia",1848,34,656000,3510,"asia"
"Australia",1849,34,699000,3460,"asia"
"Australia",1850,34,743000,3270,"asia"
"Australia",1851,34,787000,3880,"asia"
"Australia",1852,34,831000,4550,"asia"
"Australia",1853,34,877000,4980,"asia"
"Australia",1854,34,926000,4360,"asia"
"Australia",1855,34,977000,4140,"asia"
"Australia",1856,34,1030000,5050,"asia"
"Australia",1857,34,1080000,4460,"asia"
"Australia",1858,34,1140000,3800,"asia"
"Australia",1859,34,1200000,4910,"asia"
"Australia",1860,34,1260000,4790,"asia"
"Australia",1861,34,1310000,4720,"asia"
"Australia",1862,34,1360000,4540,"asia"
"Australia",1863,34,1410000,4520,"asia"
"Australia",1864,34,1460000,4800,"asia"
"Australia",1865,34,1510000,4580,"asia"
"Australia",1866,34,1550000,4710,"asia"
"Australia",1867,34,1590000,5150,"asia"
"Australia",1868,34,1640000,5230,"asia"
"Australia",1869,34,1680000,5130,"asia"
"Australia",1870,34,1720000,5430,"asia"
"Australia",1871,34.6,1770000,5470,"asia"
"Australia",1872,35.1,1820000,5890,"asia"
"Australia",1873,35.6,1860000,6340,"asia"
"Australia",1874,36.2,1910000,6360,"asia"
"Australia",1875,36.7,1960000,6870,"asia"
"Australia",1876,37.2,2020000,6650,"asia"
"Australia",1877,37.8,2060000,6700,"asia"
"Australia",1878,38.3,2120000,7100,"asia"
"Australia",1879,38.8,2180000,6980,"asia"
"Australia",1880,39.4,2250000,7120,"asia"
"Australia",1881,39.9,2320000,7400,"asia"
"Australia",1882,40.4,2400000,6750,"asia"
"Australia",1883,41,2480000,7440,"asia"
"Australia",1884,41.5,2560000,7150,"asia"
"Australia",1885,42,2650000,7350,"asia"
"Australia",1886,42.6,2740000,7200,"asia"
"Australia",1887,43.1,2830000,7700,"asia"
"Australia",1888,43.6,2920000,7490,"asia"
"Australia",1889,44.2,3010000,7890,"asia"
"Australia",1890,44.7,3090000,7410,"asia"
"Australia",1891,45.2,3170000,7760,"asia"
"Australia",1892,45.8,3250000,6650,"asia"
"Australia",1893,46.3,3320000,6170,"asia"
"Australia",1894,46.8,3390000,6270,"asia"
"Australia",1895,47.4,3450000,5800,"asia"
"Australia",1896,47.9,3520000,6130,"asia"
"Australia",1897,48.4,3580000,5690,"asia"
"Australia",1898,49,3630000,6480,"asia"
"Australia",1899,49.5,3690000,6390,"asia"
"Australia",1900,50,3740000,6690,"asia"
"Australia",1901,50.5,3800000,6400,"asia"
"Australia",1902,51.1,3850000,6370,"asia"
"Australia",1903,51.6,3910000,6790,"asia"
"Australia",1904,52.1,3960000,7160,"asia"
"Australia",1905,52.7,4020000,7140,"asia"
"Australia",1906,53.2,4090000,7510,"asia"
"Australia",1907,53.7,4140000,7700,"asia"
"Australia",1908,54.3,4210000,7830,"asia"
"Australia",1909,54.8,4300000,8310,"asia"
"Australia",1910,55.4,4410000,8690,"asia"
"Australia",1911,55.9,4520000,8500,"asia"
"Australia",1912,56.4,4670000,8490,"asia"
"Australia",1913,57,4810000,8570,"asia"
"Australia",1914,57.5,4920000,8350,"asia"
"Australia",1915,58,4960000,8120,"asia"
"Australia",1916,58.5,4970000,8090,"asia"
"Australia",1917,59.1,4990000,7930,"asia"
"Australia",1918,55,5070000,7610,"asia"
"Australia",1919,60.1,5200000,7790,"asia"
"Australia",1920,60.7,5350000,7860,"asia"
"Australia",1921,61.2,5470000,8100,"asia"
"Australia",1922,63.1,5590000,8340,"asia"
"Australia",1923,61.9,5710000,8550,"asia"
"Australia",1924,62.7,5830000,8910,"asia"
"Australia",1925,63.4,5950000,9130,"asia"
"Australia",1926,63.1,6070000,9150,"asia"
"Australia",1927,63.1,6190000,9100,"asia"
"Australia",1928,63.2,6310000,8940,"asia"
"Australia",1929,63.4,6400000,8630,"asia"
"Australia",1930,65.2,6470000,7710,"asia"
"Australia",1931,65.6,6530000,7130,"asia"
"Australia",1932,65.9,6590000,7470,"asia"
"Australia",1933,65.8,6640000,7920,"asia"
"Australia",1934,65.1,6690000,8270,"asia"
"Australia",1935,65.4,6740000,8690,"asia"
"Australia",1936,65.5,6800000,9010,"asia"
"Australia",1937,66.1,6850000,9380,"asia"
"Australia",1938,66.1,6920000,9600,"asia"
"Australia",1939,66.1,6980000,9530,"asia"
"Australia",1940,66.5,7050000,10100,"asia"
"Australia",1941,66.4,7120000,11100,"asia"
"Australia",1942,66.2,7180000,12200,"asia"
"Australia",1943,66.7,7250000,12500,"asia"
"Australia",1944,68.3,7320000,12000,"asia"
"Australia",1945,68.8,7400000,11300,"asia"
"Australia",1946,68.3,7490000,10700,"asia"
"Australia",1947,68.9,7600000,10900,"asia"
"Australia",1948,68.8,7750000,11300,"asia"
"Australia",1949,69.4,7950000,11800,"asia"
"Australia",1950,69.3,8180000,12100,"asia"
"Australia",1951,69,8410000,12200,"asia"
"Australia",1952,69.4,8620000,12100,"asia"
"Australia",1953,70,8820000,12200,"asia"
"Australia",1954,70.2,9010000,12700,"asia"
"Australia",1955,70.5,9210000,13100,"asia"
"Australia",1956,70.4,9420000,13200,"asia"
"Australia",1957,70.7,9640000,13200,"asia"
"Australia",1958,71.2,9860000,13500,"asia"
"Australia",1959,70.8,10100000,14100,"asia"
"Australia",1960,71.3,10300000,14300,"asia"
"Australia",1961,71.5,10500000,14100,"asia"
"Australia",1962,71.3,10700000,14700,"asia"
"Australia",1963,71.4,10900000,15400,"asia"
"Australia",1964,71,11100000,16100,"asia"
"Australia",1965,71.4,11400000,16600,"asia"
"Australia",1966,71.2,11600000,16700,"asia"
"Australia",1967,71.5,11900000,17600,"asia"
"Australia",1968,71.1,12300000,18300,"asia"
"Australia",1969,71.5,12600000,18900,"asia"
"Australia",1970,71.2,12800000,19700,"asia"
"Australia",1971,71.5,13100000,20200,"asia"
"Australia",1972,71.8,13300000,20400,"asia"
"Australia",1973,72,13500000,21200,"asia"
"Australia",1974,72.2,13700000,21400,"asia"
"Australia",1975,72.7,13800000,21700,"asia"
"Australia",1976,73,14000000,22400,"asia"
"Australia",1977,73.5,14200000,22400,"asia"
"Australia",1978,73.9,14300000,22700,"asia"
"Australia",1979,74.3,14500000,23700,"asia"
"Australia",1980,74.6,14600000,23900,"asia"
"Australia",1981,74.9,14800000,24300,"asia"
"Australia",1982,75,15000000,23900,"asia"
"Australia",1983,75.3,15300000,23600,"asia"
"Australia",1984,75.5,15500000,24900,"asia"
"Australia",1985,75.7,15700000,25900,"asia"
"Australia",1986,76,16000000,26000,"asia"
"Australia",1987,76.2,16300000,26900,"asia"
"Australia",1988,76.4,16500000,27700,"asia"
"Australia",1989,76.6,16800000,28500,"asia"
"Australia",1990,77,17000000,28600,"asia"
"Australia",1991,77.4,17300000,28100,"asia"
"Australia",1992,77.6,17500000,27900,"asia"
"Australia",1993,77.9,17700000,28700,"asia"
"Australia",1994,78.1,17900000,29600,"asia"
"Australia",1995,78.3,18100000,30400,"asia"
"Australia",1996,78.5,18300000,31200,"asia"
"Australia",1997,78.8,18500000,32000,"asia"
"Australia",1998,79.1,18700000,33100,"asia"
"Australia",1999,79.4,18900000,34400,"asia"
"Australia",2000,79.7,19100000,35300,"asia"
"Australia",2001,80,19300000,35500,"asia"
"Australia",2002,80.2,19500000,36400,"asia"
"Australia",2003,80.5,19700000,37100,"asia"
"Australia",2004,80.8,19900000,38100,"asia"
"Australia",2005,81.1,20200000,38900,"asia"
"Australia",2006,81.3,20600000,39400,"asia"
"Australia",2007,81.4,20900000,40700,"asia"
"Australia",2008,81.6,21300000,41300,"asia"
"Australia",2009,81.8,21700000,41200,"asia"
"Australia",2010,82,22100000,41400,"asia"
"Australia",2011,82.2,22500000,41800,"asia"
"Australia",2012,82.3,22800000,42600,"asia"
"Australia",2013,82.5,23200000,42900,"asia"
"Australia",2014,82.6,23500000,43400,"asia"
"Australia",2015,82.6,23800000,43800,"asia"
"Australia",2016,82.5,24100000,44400,"asia"
"Australia",2017,82.7,24500000,45100,"asia"
"Australia",2018,82.9,24800000,45800,"asia"
"Brazil",1800,32,3640000,1110,"americas"
"Brazil",1801,32,3680000,1110,"americas"
"Brazil",1802,32,3720000,1110,"americas"
"Brazil",1803,32,3760000,1110,"americas"
"Brazil",1804,32,3800000,1110,"americas"
"Brazil",1805,32,3840000,1110,"americas"
"Brazil",1806,32,3880000,1110,"americas"
"Brazil",1807,32,3920000,1110,"americas"
"Brazil",1808,32,3960000,1110,"americas"
"Brazil",1809,32,4010000,1110,"americas"
"Brazil",1810,32,4060000,1110,"americas"
"Brazil",1811,32,4100000,1110,"americas"
"Brazil",1812,32,4150000,1110,"americas"
"Brazil",1813,32,4200000,1110,"americas"
"Brazil",1814,32,4250000,1110,"americas"
"Brazil",1815,32,4300000,1110,"americas"
"Brazil",1816,32,4350000,1110,"americas"
"Brazil",1817,32,4410000,1110,"americas"
"Brazil",1818,32,4460000,1110,"americas"
"Brazil",1819,32,4520000,1110,"americas"
"Brazil",1820,32,4580000,1110,"americas"
"Brazil",1821,32,4640000,1110,"americas"
"Brazil",1822,32,4710000,1120,"americas"
"Brazil",1823,32,4780000,1120,"americas"
"Brazil",1824,32,4840000,1120,"americas"
"Brazil",1825,32,4910000,1120,"americas"
