date,tx.frequency,sex,mass.grams,forearm.mm,capture.body.condition,migration,julian.day,julian.day.of.capture,days.since.capture,cloud.cover,windspeed,winddirection,airpressure,airtemp,relativehumid
2012-04-30,149.512,f,25,54.2,0.461254613,1,121,121,0,5,4.4,260,1012.5,14.6,66
2012-04-30,149.581,f,28,54.7,0.511882998,0,121,121,0,5,4.4,260,1012.5,14.6,66
2012-05-01,149.581,f,28,54.7,0.511882998,0,122,121,1,8,1.7,10,1013.3,16,60
2012-05-02,149.581,f,28,54.7,0.511882998,0,123,121,2,5,1.2,240,1015.9,12,71
2012-05-03,149.581,f,28,54.7,0.511882998,0,124,121,3,5,1,320,1010.6,12.4,76
2012-05-04,149.581,f,28,54.7,0.511882998,0,125,121,4,7,3.6,310,1004.4,16,57
2012-05-05,149.581,f,28,54.7,0.511882998,0,126,121,5,7,1.8,150,1008.7,9.7,93
2012-05-06,149.581,f,28,54.7,0.511882998,0,127,121,6,4,1.2,250,1015.6,9.8,85
2012-05-07,149.581,f,28,54.7,0.511882998,0,128,121,7,4,2.1,30,1018.5,10.1,86
2012-04-30,149.632,f,31.3,52.7,0.593927894,0,121,121,0,5,4.4,260,1012.5,14.6,66
2012-04-30,149.632,f,31.3,52.7,0.593927894,0,121,121,0,5,4.4,260,1012.5,14.6,66
2012-05-01,149.632,f,31.3,52.7,0.593927894,0,122,121,1,8,1.7,10,1013.3,16,60
2012-05-01,149.632,f,31.3,52.7,0.593927894,0,122,121,1,8,1.7,10,1013.3,16,60
2012-05-02,149.632,f,31.3,52.7,0.593927894,1,123,121,2,5,1.2,240,1015.9,12,71
2012-05-02,149.632,f,31.3,52.7,0.593927894,0,123,121,2,5,1.2,240,1015.9,12,71
2012-05-03,149.632,f,31.3,52.7,0.593927894,0,124,121,3,5,1,320,1010.6,12.4,76
2012-05-04,149.632,f,31.3,52.7,0.593927894,0,125,121,4,7,3.6,310,1004.4,16,57
2012-05-05,149.632,f,31.3,52.7,0.593927894,0,126,121,5,7,1.8,150,1008.7,9.7,93
2012-05-06,149.632,f,31.3,52.7,0.593927894,0,127,121,6,4,1.2,250,1015.6,9.8,85
2012-05-07,149.632,f,31.3,52.7,0.593927894,0,128,121,7,4,2.1,30,1018.5,10.1,86
2012-04-27,149.638,f,23,55.4,0.415162455,0,118,118,0,7,0.8,290,1014.8,14.1,78
2012-04-27,149.638,f,23,55.4,0.415162455,0,118,118,0,7,0.8,290,1014.8,14.1,78
2012-04-28,149.638,f,23,55.4,0.415162455,0,119,118,1,7,2.9,60,1006.1,17.4,44
2012-04-28,149.638,f,23,55.4,0.415162455,0,119,118,1,7,2.9,60,1006.1,17.4,44
2012-04-29,149.638,f,23,55.4,0.415162455,0,120,118,2,0,2,330,1014.6,13.9,68
2012-04-29,149.638,f,23,55.4,0.415162455,0,120,118,2,0,2,330,1014.6,13.9,68
2012-04-30,149.638,f,23,55.4,0.415162455,0,121,118,3,5,4.4,260,1012.5,14.6,66
2012-04-30,149.638,f,23,55.4,0.415162455,0,121,118,3,5,4.4,260,1012.5,14.6,66
2012-05-01,149.638,f,23,55.4,0.415162455,0,122,118,4,8,1.7,10,1013.3,16,60
2012-05-01,149.638,f,23,55.4,0.415162455,0,122,118,4,8,1.7,10,1013.3,16,60
2012-05-02,149.638,f,23,55.4,0.415162455,0,123,118,5,5,1.2,240,1015.9,12,71
2012-05-02,149.638,f,23,55.4,0.415162455,0,123,118,5,5,1.2,240,1015.9,12,71
2012-05-03,149.638,f,23,55.4,0.415162455,0,124,118,6,5,1,320,1010.6,12.4,76
2012-05-03,149.638,f,23,55.4,0.415162455,0,124,118,6,5,1,320,1010.6,12.4,76
2012-05-04,149.638,f,23,55.4,0.415162455,0,125,118,7,7,3.6,310,1004.4,16,57
2012-05-04,149.638,f,23,55.4,0.415162455,1,125,118,7,7,3.6,310,1004.4,16,57
2012-05-05,149.638,f,23,55.4,0.415162455,0,126,118,8,7,1.8,150,1008.7,9.7,93
2012-05-06,149.638,f,23,55.4,0.415162455,0,127,118,9,4,1.2,250,1015.6,9.8,85
2012-05-07,149.638,f,23,55.4,0.415162455,0,128,118,10,4,2.1,30,1018.5,10.1,86
2012-04-23,149.729,f,27.9,55.5,0.502702703,0,114,114,0,7,1.1,360,1001.5,7.7,90
2012-04-24,149.729,f,27.9,55.5,0.502702703,0,115,114,1,7,5.6,250,1008.2,7,80
2012-04-25,149.729,f,27.9,55.5,0.502702703,0,116,114,2,1,2.1,290,1004.7,9.5,74
2012-04-26,149.729,f,27.9,55.5,0.502702703,1,117,114,3,0,2.1,310,1013.8,12.8,65
2012-04-30,149.75,f,30.5,54.8,0.556569343,0,121,121,0,5,4.4,260,1012.5,14.6,66
2012-04-30,149.75,f,30.5,54.8,0.556569343,0,121,121,0,5,4.4,260,1012.5,14.6,66
2012-05-01,149.75,f,30.5,54.8,0.556569343,0,122,121,1,8,1.7,10,1013.3,16,60
2012-05-02,149.75,f,30.5,54.8,0.556569343,0,123,121,2,5,1.2,240,1015.9,12,71
2012-05-03,149.75,f,30.5,54.8,0.556569343,0,124,121,3,5,1,320,1010.6,12.4,76
2012-05-04,149.75,f,30.5,54.8,0.556569343,0,125,121,4,7,3.6,310,1004.4,16,57
2012-05-05,149.75,f,30.5,54.8,0.556569343,0,126,121,5,7,1.8,150,1008.7,9.7,93
2012-05-06,149.75,f,30.5,54.8,0.556569343,0,127,121,6,4,1.2,250,1015.6,9.8,85
2012-05-07,149.75,f,30.5,54.8,0.556569343,0,128,121,7,4,2.1,30,1018.5,10.1,86
2012-05-08,149.75,f,30.5,54.8,0.556569343,0,129,121,8,8,0.9,270,1017.1,12.6,91
2012-05-09,149.75,f,30.5,54.8,0.556569343,0,130,121,9,3,1.3,30,1022,13.6,92
2012-05-10,149.75,f,30.5,54.8,0.556569343,0,131,121,10,2,2,40,1023.5,16.8,77
2012-05-11,149.75,f,30.5,54.8,0.556569343,0,132,121,11,6,1.8,260,1020.8,21.9,55
2012-05-12,149.75,f,30.5,54.8,0.556569343,0,133,121,12,7,1.4,360,1031.6,8.5,92
2012-05-13,149.75,f,30.5,54.8,0.556569343,1,134,121,13,1,2.5,30,1024.6,7.9,57
2012-04-24,149.799,f,28.9,56.3,0.513321492,1,115,115,0,7,5.6,250,1008.2,7,80
2013-04-22,150.17,f,23,53.96,0.42624166,0,112,112,0,8,1.7,290,1020.5,9.5,87
2013-04-23,150.17,f,23,53.96,0.42624166,0,113,112,1,0,1.7,70,1026.3,8.5,89
2013-04-24,150.17,f,23,53.96,0.42624166,0,114,112,2,0,1.4,360,1027,11.8,81
2013-04-25,150.17,f,23,53.96,0.42624166,0,115,112,3,0,1.5,60,1020.1,12.9,66
2013-04-26,150.17,f,23,53.96,0.42624166,0,116,112,4,8,1.6,260,1005.7,14.9,76
2013-04-27,150.17,f,23,53.96,0.42624166,0,117,112,5,8,1.5,340,1009.6,6.3,94
2013-04-28,150.17,f,23,53.96,0.42624166,0,118,112,6,7,1,350,1016.4,9.1,92
2013-04-29,150.17,f,23,53.96,0.42624166,0,119,112,7,NA,1.3,330,1018.7,9,95
2013-04-30,150.17,f,23,53.96,0.42624166,0,120,112,8,7,2.3,40,1019.3,11.5,87
2013-05-01,150.17,f,23,53.96,0.42624166,0,121,112,9,7,1.9,280,1018.4,13.4,90
2013-05-02,150.17,f,23,53.96,0.42624166,0,122,112,10,5,2.8,240,1016.8,12.4,92
2013-05-03,150.17,f,23,53.96,0.42624166,0,123,112,11,6,1.9,280,1017.5,10.9,86
2013-05-04,150.17,f,23,53.96,0.42624166,0,124,112,12,0,1.4,330,1023.5,9.8,96
2013-05-05,150.17,f,23,53.96,0.42624166,0,125,112,13,0,2.4,20,1018.8,13.1,69
2013-05-06,150.17,f,23,53.96,0.42624166,0,126,112,14,8,2.1,270,1016.5,14.1,84
2013-05-07,150.17,f,23,53.96,0.42624166,0,127,112,15,0,1.8,40,1015.9,11.6,89
2013-05-08,150.17,f,23,53.96,0.42624166,1,128,112,16,7,2,290,1014.7,16.9,64
2016-05-07,150.194,f,23,51.82,0.443844076,0,128,128,0,0,1.6,130,1010.6,13.8,68
2016-05-08,150.194,f,23,51.82,0.443844076,0,129,128,1,0,2.8,130,1010.6,15.3,54
2016-05-09,150.194,f,23,51.82,0.443844076,1,130,128,2,0,0.8,70,1010.9,15.4,64
2016-05-07,150.348,f,25,52.56,0.47564688,1,128,128,0,0,1.6,130,1010.6,13.8,68
2013-04-22,150.351,f,26,55.44,0.468975469,0,112,112,0,8,1.7,290,1020.5,9.5,87
2013-04-23,150.351,f,26,55.44,0.468975469,0,113,112,1,0,1.7,70,1026.3,8.5,89
2013-04-24,150.351,f,26,55.44,0.468975469,0,114,112,2,0,1.4,360,1027,11.8,81
2013-04-25,150.351,f,26,55.44,0.468975469,0,115,112,3,0,1.5,60,1020.1,12.9,66
2013-04-26,150.351,f,26,55.44,0.468975469,0,116,112,4,8,1.6,260,1005.7,14.9,76
2013-04-27,150.351,f,26,55.44,0.468975469,0,117,112,5,8,1.5,340,1009.6,6.3,94
2013-04-28,150.351,f,26,55.44,0.468975469,0,118,112,6,7,1,350,1016.4,9.1,92
2013-04-29,150.351,f,26,55.44,0.468975469,1,119,112,7,NA,1.3,330,1018.7,9,95
2012-04-22,150.53,f,21,53.05,0.395852969,0,113,113,0,3,1,140,1012.5,4.9,86
2012-04-23,150.53,f,21,53.05,0.395852969,0,114,113,1,7,1.1,360,1001.5,7.7,90
2012-04-24,150.53,f,21,53.05,0.395852969,0,115,113,2,7,5.6,250,1008.2,7,80
2012-04-25,150.53,f,21,53.05,0.395852969,0,116,113,3,1,2.1,290,1004.7,9.5,74
2012-04-26,150.53,f,21,53.05,0.395852969,0,117,113,4,0,2.1,310,1013.8,12.8,65
2012-04-27,150.53,f,21,53.05,0.395852969,0,118,113,5,7,0.8,290,1014.8,14.1,78
2012-04-28,150.53,f,21,53.05,0.395852969,0,119,113,6,7,2.9,60,1006.1,17.4,44
2012-04-29,150.53,f,21,53.05,0.395852969,1,120,113,7,0,2,330,1014.6,13.9,68
2016-05-04,150.546,f,23,52.77,0.435853705,0,125,125,0,1,1.3,40,1025.7,8.3,55
2016-05-05,150.546,f,23,52.77,0.435853705,0,126,125,1,0,1.4,320,1018.1,10,77
2016-05-06,150.546,f,23,52.77,0.435853705,0,127,125,2,0,1.7,280,1012.6,12.7,64
2016-05-07,150.546,f,23,52.77,0.435853705,0,128,125,3,0,1.6,130,1010.6,13.8,68
2016-05-08,150.546,f,23,52.77,0.435853705,0,129,125,4,0,2.8,130,1010.6,15.3,54
2016-05-09,150.546,f,23,52.77,0.435853705,1,130,125,5,0,0.8,70,1010.9,15.4,64
2016-05-04,150.605,f,27.5,53.44,0.514595808,0,125,125,0,1,1.3,40,1025.7,8.3,55
2016-05-05,150.605,f,27.5,53.44,0.514595808,0,126,125,1,0,1.4,320,1018.1,10,77
2016-05-06,150.605,f,27.5,53.44,0.514595808,1,127,125,2,0,1.7,280,1012.6,12.7,64
2012-04-24,150.689,f,24,57.15,0.419947507,0,115,115,0,7,5.6,250,1008.2,7,80
2012-04-25,150.689,f,24,57.15,0.419947507,0,116,115,1,1,2.1,290,1004.7,9.5,74
2012-04-26,150.689,f,24,57.15,0.419947507,0,117,115,2,0,2.1,310,1013.8,12.8,65
2012-04-27,150.689,f,24,57.15,0.419947507,0,118,115,3,7,0.8,290,1014.8,14.1,78
2012-04-28,150.689,f,24,57.15,0.419947507,0,119,115,4,7,2.9,60,1006.1,17.4,44
2012-04-29,150.689,f,24,57.15,0.419947507,0,120,115,5,0,2,330,1014.6,13.9,68
2012-04-30,150.689,f,24,57.15,0.419947507,0,121,115,6,5,4.4,260,1012.5,14.6,66
2012-05-01,150.689,f,24,57.15,0.419947507,0,122,115,7,8,1.7,10,1013.3,16,60
2012-05-02,150.689,f,24,57.15,0.419947507,0,123,115,8,5,1.2,240,1015.9,12,71
2012-05-03,150.689,f,24,57.15,0.419947507,0,124,115,9,5,1,320,1010.6,12.4,76
2012-05-04,150.689,f,24,57.15,0.419947507,0,125,115,10,7,3.6,310,1004.4,16,57
2012-05-05,150.689,f,24,57.15,0.419947507,0,126,115,11,7,1.8,150,1008.7,9.7,93
2012-05-06,150.689,f,24,57.15,0.419947507,0,127,115,12,4,1.2,250,1015.6,9.8,85
2012-05-07,150.689,f,24,57.15,0.419947507,0,128,115,13,4,2.1,30,1018.5,10.1,86
2012-05-08,150.689,f,24,57.15,0.419947507,0,129,115,14,8,0.9,270,1017.1,12.6,91
2012-05-09,150.689,f,24,57.15,0.419947507,0,130,115,15,3,1.3,30,1022,13.6,92
2012-05-10,150.689,f,24,57.15,0.419947507,0,131,115,16,2,2,40,1023.5,16.8,77
2012-05-11,150.689,f,24,57.15,0.419947507,0,132,115,17,6,1.8,260,1020.8,21.9,55
2012-05-12,150.689,f,24,57.15,0.419947507,0,133,115,18,7,1.4,360,1031.6,8.5,92
2012-05-13,150.689,f,24,57.15,0.419947507,0,134,115,19,1,2.5,30,1024.6,7.9,57
2012-05-14,150.689,f,24,57.15,0.419947507,0,135,115,20,4,1.3,100,1014.3,9.6,59
2012-04-24,150.73,f,27,54.22,0.497971228,0,115,115,0,7,5.6,250,1008.2,7,80
2012-04-25,150.73,f,27,54.22,0.497971228,0,116,115,1,1,2.1,290,1004.7,9.5,74
2012-04-26,150.73,f,27,54.22,0.497971228,0,117,115,2,0,2.1,310,1013.8,12.8,65
2012-04-27,150.73,f,27,54.22,0.497971228,0,118,115,3,7,0.8,290,1014.8,14.1,78
2012-04-28,150.73,f,27,54.22,0.497971228,0,119,115,4,7,2.9,60,1006.1,17.4,44
2012-04-29,150.73,f,27,54.22,0.497971228,0,120,115,5,0,2,330,1014.6,13.9,68
2012-04-30,150.73,f,27,54.22,0.497971228,0,121,115,6,5,4.4,260,1012.5,14.6,66
2012-05-01,150.73,f,27,54.22,0.497971228,0,122,115,7,8,1.7,10,1013.3,16,60
2012-05-02,150.73,f,27,54.22,0.497971228,0,123,115,8,5,1.2,240,1015.9,12,71
2012-05-03,150.73,f,27,54.22,0.497971228,0,124,115,9,5,1,320,1010.6,12.4,76
2012-05-04,150.73,f,27,54.22,0.497971228,0,125,115,10,7,3.6,310,1004.4,16,57
2012-05-05,150.73,f,27,54.22,0.497971228,0,126,115,11,7,1.8,150,1008.7,9.7,93
2012-05-06,150.73,f,27,54.22,0.497971228,0,127,115,12,4,1.2,250,1015.6,9.8,85
2012-05-07,150.73,f,27,54.22,0.497971228,0,128,115,13,4,2.1,30,1018.5,10.1,86
2012-05-08,150.73,f,27,54.22,0.497971228,0,129,115,14,8,0.9,270,1017.1,12.6,91
